================ Training Loss (Wed Dec 26 15:01:53 2018) ================
================ Training Loss (Wed Dec 26 15:02:38 2018) ================
================ Training Loss (Wed Dec 26 15:03:07 2018) ================
================ Training Loss (Wed Dec 26 15:03:28 2018) ================
(epoch: 141, iters: 640, time: 0.012, data: 0.023) G_GAN: 2.285 G_L1: 10.424 D_real: 0.241 D_fake: 0.651 
(epoch: 144, iters: 768, time: 0.012, data: 0.020) G_GAN: 1.332 G_L1: 10.430 D_real: 0.436 D_fake: 0.458 
(epoch: 147, iters: 896, time: 0.013, data: 0.021) G_GAN: 1.337 G_L1: 10.326 D_real: 0.471 D_fake: 0.407 
(epoch: 150, iters: 1024, time: 0.012, data: 0.021) G_GAN: 1.676 G_L1: 10.318 D_real: 0.351 D_fake: 0.451 
(epoch: 154, iters: 128, time: 0.011, data: 2.490) G_GAN: 1.519 G_L1: 10.305 D_real: 0.465 D_fake: 0.356 
(epoch: 157, iters: 256, time: 0.013, data: 0.032) G_GAN: 1.905 G_L1: 10.166 D_real: 0.204 D_fake: 0.702 
(epoch: 160, iters: 384, time: 0.012, data: 0.025) G_GAN: 1.591 G_L1: 10.248 D_real: 0.331 D_fake: 0.549 
(epoch: 163, iters: 512, time: 0.013, data: 0.024) G_GAN: 1.243 G_L1: 10.388 D_real: 0.501 D_fake: 0.245 
(epoch: 166, iters: 640, time: 0.013, data: 0.026) G_GAN: 1.347 G_L1: 10.350 D_real: 0.440 D_fake: 0.440 
(epoch: 169, iters: 768, time: 0.013, data: 0.022) G_GAN: 1.217 G_L1: 10.294 D_real: 0.440 D_fake: 0.353 
(epoch: 172, iters: 896, time: 0.013, data: 0.021) G_GAN: 1.396 G_L1: 10.201 D_real: 0.377 D_fake: 0.344 
(epoch: 175, iters: 1024, time: 0.012, data: 0.022) G_GAN: 1.449 G_L1: 10.166 D_real: 0.329 D_fake: 0.389 
(epoch: 179, iters: 128, time: 0.010, data: 1.862) G_GAN: 1.388 G_L1: 10.222 D_real: 0.408 D_fake: 0.297 
(epoch: 182, iters: 256, time: 0.013, data: 0.023) G_GAN: 1.313 G_L1: 10.313 D_real: 0.362 D_fake: 0.345 
(epoch: 185, iters: 384, time: 0.013, data: 0.022) G_GAN: 1.267 G_L1: 10.252 D_real: 0.349 D_fake: 0.365 
(epoch: 188, iters: 512, time: 0.013, data: 0.021) G_GAN: 1.235 G_L1: 10.191 D_real: 0.388 D_fake: 0.323 
(epoch: 191, iters: 640, time: 0.013, data: 0.024) G_GAN: 1.262 G_L1: 10.243 D_real: 0.403 D_fake: 0.335 
(epoch: 194, iters: 768, time: 0.013, data: 0.022) G_GAN: 1.289 G_L1: 10.252 D_real: 0.357 D_fake: 0.353 
(epoch: 197, iters: 896, time: 0.013, data: 0.024) G_GAN: 1.232 G_L1: 10.249 D_real: 0.301 D_fake: 0.387 
(epoch: 200, iters: 1024, time: 0.011, data: 0.021) G_GAN: 1.283 G_L1: 10.203 D_real: 0.395 D_fake: 0.353 
(epoch: 204, iters: 128, time: 0.011, data: 1.832) G_GAN: 1.222 G_L1: 10.230 D_real: 0.328 D_fake: 0.372 
(epoch: 207, iters: 256, time: 0.013, data: 0.023) G_GAN: 0.000 G_L1: 23.657 D_real: 0.000 D_fake: 18.778 
(epoch: 210, iters: 384, time: 0.013, data: 0.023) G_GAN: 0.000 G_L1: 80.192 D_real: 0.000 D_fake: 26.802 
(epoch: 213, iters: 512, time: 0.013, data: 0.024) G_GAN: 0.000 G_L1: 106.586 D_real: 0.000 D_fake: 27.408 
(epoch: 216, iters: 640, time: 0.013, data: 0.025) G_GAN: 0.000 G_L1: 120.969 D_real: 0.000 D_fake: 27.516 
(epoch: 219, iters: 768, time: 0.013, data: 0.022) G_GAN: 0.000 G_L1: 129.995 D_real: 0.000 D_fake: 27.537 
